source,created_time,text,url,likes,shares,comments
Ejempla,2016-05-16T14:02:54+0000,"¿Dónde está el Presidente? Todos los días nos enteramos que la agenda del Presidente de la República se reduce a un par de reuniones y alguno que otro paseo al interior. El resto “está lleno de vacíos”, lo que nos lleva a preguntarnos: ¿dónde está Cartes?Tratándose de la representación física del Poder de la República, tiene su importancia.",www.facebook.com/726622947351359_1322914011055580,272,48,53
Ejempla,2016-05-13T12:54:09+0000,"Este fin de semana Asunción no duerme AMCHA ya nos tienen acostumbrados a encuentros cada vez más grandes con la innovación, la inclusión social y la cultura como bandera. Paraguay cumple 205 años de independencia y estas son las actividades para revivir la noche histórica del 14 y 15 de mayo este fin de semana en el centro de Asunción:Aquí todos los detalles de la fiesta por los 205 años de la independencia del Paraguay.",www.facebook.com/726622947351359_1320581661288815,1145,383,37
Ejempla,2016-05-12T14:20:15+0000,"8 oportunidades para emprendedores Si estás interesado en empezar algún emprendimiento, estas son las 8 oportunidades para emprendedores que hay en mayo:Paraguay y toda la región cuentan con un ecosistema emprendedor cada vez más desarrollado, es por eso que cada día hay más oportunidades para emprendedores.",www.facebook.com/726622947351359_1319994528014195,215,70,7
Ejempla,2016-05-11T18:45:12+0000,¿Quién tiene mayor influencia en la educación? Cuando hablamos de educación existen varios pilares importantes que la componen. Pero ¿quién te parece que tiene mayor influencia en la educación de una persona o un niño?,www.facebook.com/726622947351359_1319518388061809,11,2,0
Ejempla,2016-05-11T13:46:33+0000,"Demonizar alimentos, una moda peligrosa ¿Las harinas, el azúcar y la leche engordan? Angie Paiva Nutricionista analiza cómo a la hora de hablar de alimentación saludable, intentan convencernos de que algún alimento es ""peligroso"" para nuestra salud, sin dimensionar las consecuencias que podría atraer.¿Qué hacemos eliminando totalmente al pan y a las harinas de nuestra dieta?",www.facebook.com/726622947351359_1319362181410763,137,44,2
Ejempla,2016-05-10T15:52:44+0000,"La generación que apunta al cambio Hay una generación que no puede avanzar al ritmo de la burocracia, y ¡debemos celebrar que hoy el reclamo por una mejor educación sea la bandera que haya unido sus voces!",www.facebook.com/726622947351359_1318708091476172,693,62,16
Ejempla,2016-05-10T13:17:22+0000,"La lista de Ramón A menos de un mes que arranque la Copa América Centenario 2016, esta es la lista que presentó Ramón Díaz: una que incluye la aguardada renovación sin despreciar la cuota de experiencia que aportan los históricos.""La lista –en líneas generales- reúne los requisitos de un mix entre jóvenes y veteranos"".",www.facebook.com/726622947351359_1318634354816879,449,4,47
Ejempla,2016-05-09T14:38:09+0000,"¿Es correcta la elección del nuevo Ministro? Horacio Cartes eligió a Enrique Riera como nuevo Ministro de Educación y Cultura luego de la renuncia de Marta La Fuente a causa de la #TomaDeColegios. Pero, ¿qué opinión tenés con respecto a la elección del mandatario?",www.facebook.com/726622947351359_1317978784882436,17,1,13
Ejempla,2016-05-09T12:38:01+0000,"¿Hay que matar a la reforma educativa? ""El problema no es la reforma educativa. El problema fue y es su  su pésima aplicación, fruto de mala organización y una tremendamente pobre formación docente"".Los críticos se equivocan al decir que hay que cavar una tumba para una reforma que debe morir.",www.facebook.com/726622947351359_1317915601555421,1282,259,99
Ejempla,2016-05-06T14:36:08+0000,"La educación paraguaya no fracasó ""Mientras no seamos conscientes de los mensajes que estamos emitiendo como sociedad y que son absorbidos por los más jóvenes, no habrá reforma educativa que nos salve"".Si se habla de una generación activa, crítica, que lucha por sus ideales sin miedo, ¿por qué afirmar que la educación paraguaya fracasó?",www.facebook.com/726622947351359_1315860018427646,874,205,49
Ejempla,2016-05-06T13:21:57+0000,"Reacción tardía El análisis del último partido del Club Cerro Porteño en la #CopaLibertadores donde así llegaba la vuelta: ""nadie de Boca creía que se escapaba la serie. De hazaña tildaban desde el campamento azulgrana una eventual clasificación"".Una instancia decisiva, mucho que perder por todo lo que está en juego y un rival que se siente como pez en el agua armaron la estrategia fallida de la ida.",www.facebook.com/726622947351359_1315824231764558,768,12,64
Ejempla,2016-05-03T15:00:28+0000,"A beautiful story La hermosa historia del Leicester, que ""enamora porque vivimos en la era de la opulencia y desigualdad. Ilusiona a la mayoría que observa a los elegidos. Al fútbol lo sostienen aquellos anónimos quienes admiran y veneran a los ídolos porque además de un mega negocio sigue siendo el beautiful game”.Merece película de Hollywood ya que nada parecerá exagerado.",www.facebook.com/726622947351359_1313807821966199,610,56,4
Ejempla,2016-04-25T12:57:46+0000,"Lo que dejó el clásico El análisis del último clásico del semestre:  donde ""cada uno se llevó algo valioso para su presente. Y ambos saben que estuvo cerca la goleada como también la remontada"".El clásico de la segunda rueda del Apertura venía con los rasgos bien definidos y realidades que contrastan.",www.facebook.com/726622947351359_1308329185847396,1417,21,67
Ejempla,2016-04-19T18:32:23+0000,"Rousseff desafía a la Cámara La presidenta brasileña, Dilma Rousseff desafía a la Cámara y promete luchar contra el impeachment.""Tengo fuerza, ánimo y coraje para enfrentar la injusticia. Recibí 54 millones de votos y me siento indignada por la decisión de la Cámara""",www.facebook.com/726622947351359_1304449819568666,6,4,1
